Overall,Potential,Age,TotalStats,BaseStats,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes
2061.0,2061.0,2061.0,2061.0,2061.0,2061.0,2061.0,2061.0,2061.0,2061.0
64.4531780688986,69.79427462396895,26.09946627850558,1042.7481804949055,354.9849587578845,64.97671033478893,62.85395439107229,62.004366812227076,63.22028141678797,65.96458030082485
7.491377946396231,6.213232529552764,5.47370632022322,144.67161728347392,42.11502126759118,7.478476627495407,7.176047004955882,7.375403911884536,8.247564872647752,7.89009500607154
48.0,51.0,16.0,759.0,255.0,42.0,44.0,38.0,39.0,45.0
59.0,66.0,22.0,918.0,324.0,60.0,58.0,57.0,58.0,60.0
64.0,70.0,25.0,1039.0,354.0,65.0,63.0,62.0,63.0,66.0
69.0,74.0,30.0,1148.0,383.0,70.0,67.0,67.0,69.0,71.0
90.0,92.0,44.0,1583.0,502.0,90.0,90.0,93.0,91.0,90.0
